"arc_length"	"U_X","U_Magnitude"
0	0	0
0.11	0	0
0.22	0	0
0.33	0	0
0.44	0	0
0.55	0	0
0.66	0	0
0.77	0	0
0.88	0	0
0.99	0	0
1.1	0	0
1.21	0	0
1.32	0	0
1.43	0	0
1.54	0	0
1.65	0	0
1.76	0	0
1.87	0	0
1.98	0	0
2.09	-1.48057e-06	0
2.2	-1.48057e-06	0
2.31	-1.48057e-06	0
2.42	-1.48057e-06	0
2.53	-1.48057e-06	0
2.64	-1.48057e-06	0
2.75	-1.48057e-06	0
2.86	-1.48057e-06	0
2.97	-1.48057e-06	0
3.08	-3.94452e-06	0
3.19	-3.94452e-06	0
3.3	-3.94452e-06	0
3.41	-3.94452e-06	0
3.52	-3.94452e-06	0
3.63	-3.94452e-06	0
3.74	-3.94452e-06	0
3.85	-3.94452e-06	0
3.96	-3.94452e-06	0
4.07	-5.97481e-06	0
4.18	-5.97481e-06	0
4.29	-5.97481e-06	0
4.4	-5.97481e-06	0
4.51	-5.97481e-06	0
4.62	-5.97481e-06	0
4.73	-5.97481e-06	0
4.84	-5.97481e-06	0
4.95	-5.97481e-06	0
5.06	-7.63918e-06	0
5.17	-7.63918e-06	0
5.28	-7.63918e-06	0
5.39	-7.63918e-06	0
5.5	-7.63918e-06	0
5.61	-7.63918e-06	0
5.72	-7.63918e-06	0
5.83	-7.63918e-06	0
5.94	-7.63918e-06	0
6.05	-8.98508e-06	0
6.16	-8.98508e-06	0
6.27	-8.98508e-06	0
6.38	-8.98508e-06	0
6.49	-8.98508e-06	0
6.6	-8.98508e-06	0
6.71	-8.98508e-06	0
6.82	-8.98508e-06	0
6.93	-8.98508e-06	0
7.04	-1.00417e-05	0
7.15	-1.00417e-05	0
7.26	-1.00417e-05	0
7.37	-1.00417e-05	0
7.48	-1.00417e-05	0
7.59	-1.00417e-05	0
7.7	-1.00417e-05	0
7.81	-1.00417e-05	0
7.92	-1.00417e-05	0
8.03	-1.08215e-05	0
8.14	-1.08215e-05	0
8.25	-1.08215e-05	0
8.36	-1.08215e-05	0
8.47	-1.08215e-05	0
8.58	-1.08215e-05	0
8.69	-1.08215e-05	0
8.8	-1.08215e-05	0
8.91	-1.08215e-05	0
9.02	-1.13211e-05	0
9.13	-1.13211e-05	0
9.24	-1.13211e-05	0
9.35	-1.13211e-05	0
9.46	-1.13211e-05	0
9.57	-1.13211e-05	0
9.68	-1.13211e-05	0
9.79	-1.13211e-05	0
9.9	-1.13211e-05	0
10.01	-1.15217e-05	0
10.12	-1.15217e-05	0
10.23	-1.15217e-05	0
10.34	-1.15217e-05	0
10.45	-1.15217e-05	0
10.56	-1.15217e-05	0
10.67	-1.15217e-05	0
10.78	-1.15217e-05	0
10.89	-1.15217e-05	0
11	-1.15217e-05	0
11.11	-1.13892e-05	0
11.22	-1.13892e-05	0
11.33	-1.13892e-05	0
11.44	-1.13892e-05	0
11.55	-1.13892e-05	0
11.66	-1.13892e-05	0
11.77	-1.13892e-05	0
11.88	-1.13892e-05	0
11.99	-1.13892e-05	0
12.1	-1.08745e-05	0
12.21	-1.08745e-05	0
12.32	-1.08745e-05	0
12.43	-1.08745e-05	0
12.54	-1.08745e-05	0
12.65	-1.08745e-05	0
12.76	-1.08745e-05	0
12.87	-1.08745e-05	0
12.98	-1.08745e-05	0
13.09	-9.91354e-06	0
13.2	-9.91354e-06	0
13.31	-9.91354e-06	0
13.42	-9.91354e-06	0
13.53	-9.91354e-06	0
13.64	-9.91354e-06	0
13.75	-9.91354e-06	0
13.86	-9.91354e-06	0
13.97	-9.91354e-06	0
14.08	-8.42824e-06	0
14.19	-8.42824e-06	0
14.3	-8.42824e-06	0
14.41	-8.42824e-06	0
14.52	-8.42824e-06	0
14.63	-8.42824e-06	0
14.74	-8.42824e-06	0
14.85	-8.42824e-06	0
14.96	-8.42824e-06	0
15.07	-6.3276e-06	0
15.18	-6.3276e-06	0
15.29	-6.3276e-06	0
15.4	-6.3276e-06	0
15.51	-6.3276e-06	0
15.62	-6.3276e-06	0
15.73	-6.3276e-06	0
15.84	-6.3276e-06	0
15.95	-6.3276e-06	0
16.06	-3.51335e-06	0
16.17	-3.51335e-06	0
16.28	-3.51335e-06	0
16.39	-3.51335e-06	0
16.5	-3.51335e-06	0
16.61	-3.51335e-06	0
16.72	-3.51335e-06	0
16.83	-3.51335e-06	0
16.94	-3.51335e-06	0
17.05	1.11714e-07	0
17.16	1.11714e-07	0
17.27	1.11714e-07	0
17.38	1.11714e-07	0
17.49	1.11714e-07	0
17.6	1.11714e-07	0
17.71	1.11714e-07	0
17.82	1.11714e-07	0
17.93	1.11714e-07	0
18.04	4.62e-06	0
18.15	4.62e-06	0
18.26	4.62e-06	0
18.37	4.62e-06	0
18.48	4.62e-06	0
18.59	4.62e-06	0
18.7	4.62e-06	0
18.81	4.62e-06	0
18.92	4.62e-06	0
19.03	1.00287e-05	0
19.14	1.00287e-05	0
19.25	1.00287e-05	0
19.36	1.00287e-05	0
19.47	1.00287e-05	0
19.58	1.00287e-05	0
19.69	1.00287e-05	0
19.8	1.00287e-05	0
19.91	1.00287e-05	0
20.02	1.63078e-05	0
20.13	1.63078e-05	0
20.24	1.63078e-05	0
20.35	1.63078e-05	0
20.46	1.63078e-05	0
20.57	1.63078e-05	0
20.68	1.63078e-05	0
20.79	1.63078e-05	0
20.9	1.63078e-05	0
21.01	2.30412e-05	0
21.12	2.30412e-05	0
21.23	2.30412e-05	0
21.34	2.30412e-05	0
21.45	2.30412e-05	0
21.56	2.30412e-05	0
21.67	2.30412e-05	0
21.78	2.30412e-05	0
21.89	2.30412e-05	0
22	2.30412e-05	0
22.11	2.84548e-05	0
22.22	2.84548e-05	0
22.33	2.84548e-05	0
22.44	2.84548e-05	0
22.55	2.84548e-05	0
22.66	2.84548e-05	0
22.77	2.84548e-05	0
22.88	2.84548e-05	0
22.99	2.84548e-05	0
23.1	3.24455e-05	0
23.21	3.24455e-05	0
23.32	3.24455e-05	0
23.43	3.24455e-05	0
23.54	3.24455e-05	0
23.65	3.24455e-05	0
23.76	3.24455e-05	0
23.87	3.24455e-05	0
23.98	3.24455e-05	0
24.09	3.59195e-05	0
24.2	3.59195e-05	0
24.31	3.59195e-05	0
24.42	3.59195e-05	0
24.53	3.59195e-05	0
24.64	3.59195e-05	0
24.75	3.59195e-05	0
24.86	3.59195e-05	0
24.97	3.59195e-05	0
25.08	3.9092e-05	0
25.19	3.9092e-05	0
25.3	3.9092e-05	0
25.41	3.9092e-05	0
25.52	3.9092e-05	0
25.63	3.9092e-05	0
25.74	3.9092e-05	0
25.85	3.9092e-05	0
25.96	3.9092e-05	0
26.07	4.23413e-05	4.76237e-06
26.18	4.23413e-05	4.76237e-06
26.29	4.23413e-05	4.76237e-06
26.4	4.23413e-05	4.76237e-06
26.51	4.23413e-05	4.76237e-06
26.62	4.23413e-05	4.76237e-06
26.73	4.23413e-05	4.76237e-06
26.84	4.23413e-05	4.76237e-06
26.95	4.23413e-05	4.76237e-06
27.06	4.59058e-05	1.40924e-05
27.17	4.59058e-05	1.40924e-05
27.28	4.59058e-05	1.40924e-05
27.39	4.59058e-05	1.40924e-05
27.5	4.59058e-05	1.40924e-05
27.61	4.59058e-05	1.40924e-05
27.72	4.59058e-05	1.40924e-05
27.83	4.59058e-05	1.40924e-05
27.94	4.59058e-05	1.40924e-05
28.05	4.98687e-05	2.31897e-05
28.16	4.98687e-05	2.31897e-05
28.27	4.98687e-05	2.31897e-05
28.38	4.98687e-05	2.31897e-05
28.49	4.98687e-05	2.31897e-05
28.6	4.98687e-05	2.31897e-05
28.71	4.98687e-05	2.31897e-05
28.82	4.98687e-05	2.31897e-05
28.93	4.98687e-05	2.31897e-05
29.04	5.42415e-05	3.20542e-05
29.15	5.42415e-05	3.20542e-05
29.26	5.42415e-05	3.20542e-05
29.37	5.42415e-05	3.20542e-05
29.48	5.42415e-05	3.20542e-05
29.59	5.42415e-05	3.20542e-05
29.7	5.42415e-05	3.20542e-05
29.81	5.42415e-05	3.20542e-05
29.92	5.42415e-05	3.20542e-05
30.03	5.89902e-05	4.06854e-05
30.14	5.89902e-05	4.06854e-05
30.25	5.89902e-05	4.06854e-05
30.36	5.89902e-05	4.06854e-05
30.47	5.89902e-05	4.06854e-05
30.58	5.89902e-05	4.06854e-05
30.69	5.89902e-05	4.06854e-05
30.8	5.89902e-05	4.06854e-05
30.91	5.89902e-05	4.06854e-05
31.02	6.40586e-05	4.90834e-05
31.13	6.40586e-05	4.90834e-05
31.24	6.40586e-05	4.90834e-05
31.35	6.40586e-05	4.90834e-05
31.46	6.40586e-05	4.90834e-05
31.57	6.40586e-05	4.90834e-05
31.68	6.40586e-05	4.90834e-05
31.79	6.40586e-05	4.90834e-05
31.9	6.40586e-05	4.90834e-05
32.01	6.93824e-05	5.72489e-05
32.12	6.93824e-05	5.72489e-05
32.23	6.93824e-05	5.72489e-05
32.34	6.93824e-05	5.72489e-05
32.45	6.93824e-05	5.72489e-05
32.56	6.93824e-05	5.72489e-05
32.67	6.93824e-05	5.72489e-05
32.78	6.93824e-05	5.72489e-05
32.89	6.93824e-05	5.72489e-05
33	6.93824e-05	5.72489e-05
33.11	7.48975e-05	6.51811e-05
33.22	7.48975e-05	6.51811e-05
33.33	7.48975e-05	6.51811e-05
33.44	7.48975e-05	6.51811e-05
33.55	7.48975e-05	6.51811e-05
33.66	7.48975e-05	6.51811e-05
33.77	7.48975e-05	6.51811e-05
33.88	7.48975e-05	6.51811e-05
33.99	7.48975e-05	6.51811e-05
34.1	8.05436e-05	7.28795e-05
34.21	8.05436e-05	7.28795e-05
34.32	8.05436e-05	7.28795e-05
34.43	8.05436e-05	7.28795e-05
34.54	8.05436e-05	7.28795e-05
34.65	8.05436e-05	7.28795e-05
34.76	8.05436e-05	7.28795e-05
34.87	8.05436e-05	7.28795e-05
34.98	8.05436e-05	7.28795e-05
35.09	8.62663e-05	8.0345e-05
35.2	8.62663e-05	8.0345e-05
35.31	8.62663e-05	8.0345e-05
35.42	8.62663e-05	8.0345e-05
35.53	8.62663e-05	8.0345e-05
35.64	8.62663e-05	8.0345e-05
35.75	8.62663e-05	8.0345e-05
35.86	8.62663e-05	8.0345e-05
35.97	8.62663e-05	8.0345e-05
36.08	9.20174e-05	8.75778e-05
36.19	9.20174e-05	8.75778e-05
36.3	9.20174e-05	8.75778e-05
36.41	9.20174e-05	8.75778e-05
36.52	9.20174e-05	8.75778e-05
36.63	9.20174e-05	8.75778e-05
36.74	9.20174e-05	8.75778e-05
36.85	9.20174e-05	8.75778e-05
36.96	9.20174e-05	8.75778e-05
37.07	9.77554e-05	9.45769e-05
37.18	9.77554e-05	9.45769e-05
37.29	9.77554e-05	9.45769e-05
37.4	9.77554e-05	9.45769e-05
37.51	9.77554e-05	9.45769e-05
37.62	9.77554e-05	9.45769e-05
37.73	9.77554e-05	9.45769e-05
37.84	9.77554e-05	9.45769e-05
37.95	9.77554e-05	9.45769e-05
38.06	0.000103445	0.000101343
38.17	0.000103445	0.000101343
38.28	0.000103445	0.000101343
38.39	0.000103445	0.000101343
38.5	0.000103445	0.000101343
38.61	0.000103445	0.000101343
38.72	0.000103445	0.000101343
38.83	0.000103445	0.000101343
38.94	0.000103445	0.000101343
39.05	0.000109055	0.000107876
39.16	0.000109055	0.000107876
39.27	0.000109055	0.000107876
39.38	0.000109055	0.000107876
39.49	0.000109055	0.000107876
39.6	0.000109055	0.000107876
39.71	0.000109055	0.000107876
39.82	0.000109055	0.000107876
39.93	0.000109055	0.000107876
40.04	0.000114561	0.000114176
40.15	0.000114561	0.000114176
40.26	0.000114561	0.000114176
40.37	0.000114561	0.000114176
40.48	0.000114561	0.000114176
40.59	0.000114561	0.000114176
40.7	0.000114561	0.000114176
40.81	0.000114561	0.000114176
40.92	0.000114561	0.000114176
41.03	0.000119941	0.000120242
41.14	0.000119941	0.000120242
41.25	0.000119941	0.000120242
41.36	0.000119941	0.000120242
41.47	0.000119941	0.000120242
41.58	0.000119941	0.000120242
41.69	0.000119941	0.000120242
41.8	0.000119941	0.000120242
41.91	0.000119941	0.000120242
42.02	0.00012518	0.000126075
42.13	0.00012518	0.000126075
42.24	0.00012518	0.000126075
42.35	0.00012518	0.000126075
42.46	0.00012518	0.000126075
42.57	0.00012518	0.000126075
42.68	0.00012518	0.000126075
42.79	0.00012518	0.000126075
42.9	0.00012518	0.000126075
43.01	0.00013026	0.000131675
43.12	0.00013026	0.000131675
43.23	0.00013026	0.000131675
43.34	0.00013026	0.000131675
43.45	0.00013026	0.000131675
43.56	0.00013026	0.000131675
43.67	0.00013026	0.000131675
43.78	0.00013026	0.000131675
43.89	0.00013026	0.000131675
44	0.00013026	0.000131675
44.11	0.000135172	0.000137043
44.22	0.000135172	0.000137043
44.33	0.000135172	0.000137043
44.44	0.000135172	0.000137043
44.55	0.000135172	0.000137043
44.66	0.000135172	0.000137043
44.77	0.000135172	0.000137043
44.88	0.000135172	0.000137043
44.99	0.000135172	0.000137043
45.1	0.000139905	0.000142176
45.21	0.000139905	0.000142176
45.32	0.000139905	0.000142176
45.43	0.000139905	0.000142176
45.54	0.000139905	0.000142176
45.65	0.000139905	0.000142176
45.76	0.000139905	0.000142176
45.87	0.000139905	0.000142176
45.98	0.000139905	0.000142176
46.09	0.00014445	0.000147077
46.2	0.00014445	0.000147077
46.31	0.00014445	0.000147077
46.42	0.00014445	0.000147077
46.53	0.00014445	0.000147077
46.64	0.00014445	0.000147077
46.75	0.00014445	0.000147077
46.86	0.00014445	0.000147077
46.97	0.00014445	0.000147077
47.08	0.000148802	0.000151744
47.19	0.000148802	0.000151744
47.3	0.000148802	0.000151744
47.41	0.000148802	0.000151744
47.52	0.000148802	0.000151744
47.63	0.000148802	0.000151744
47.74	0.000148802	0.000151744
47.85	0.000148802	0.000151744
47.96	0.000148802	0.000151744
48.07	0.000152954	0.000156178
48.18	0.000152954	0.000156178
48.29	0.000152954	0.000156178
48.4	0.000152954	0.000156178
48.51	0.000152954	0.000156178
48.62	0.000152954	0.000156178
48.73	0.000152954	0.000156178
48.84	0.000152954	0.000156178
48.95	0.000152954	0.000156178
49.06	0.000156903	0.000160379
49.17	0.000156903	0.000160379
49.28	0.000156903	0.000160379
49.39	0.000156903	0.000160379
49.5	0.000156903	0.000160379
49.61	0.000156903	0.000160379
49.72	0.000156903	0.000160379
49.83	0.000156903	0.000160379
49.94	0.000156903	0.000160379
50.05	0.000160643	0.000164347
50.16	0.000160643	0.000164347
50.27	0.000160643	0.000164347
50.38	0.000160643	0.000164347
50.49	0.000160643	0.000164347
50.6	0.000160643	0.000164347
50.71	0.000160643	0.000164347
50.82	0.000160643	0.000164347
50.93	0.000160643	0.000164347
51.04	0.000164173	0.000168081
51.15	0.000164173	0.000168081
51.26	0.000164173	0.000168081
51.37	0.000164173	0.000168081
51.48	0.000164173	0.000168081
51.59	0.000164173	0.000168081
51.7	0.000164173	0.000168081
51.81	0.000164173	0.000168081
51.92	0.000164173	0.000168081
52.03	0.000167489	0.000171583
52.14	0.000167489	0.000171583
52.25	0.000167489	0.000171583
52.36	0.000167489	0.000171583
52.47	0.000167489	0.000171583
52.58	0.000167489	0.000171583
52.69	0.000167489	0.000171583
52.8	0.000167489	0.000171583
52.91	0.000167489	0.000171583
53.02	0.000170589	0.000174851
53.13	0.000170589	0.000174851
53.24	0.000170589	0.000174851
53.35	0.000170589	0.000174851
53.46	0.000170589	0.000174851
53.57	0.000170589	0.000174851
53.68	0.000170589	0.000174851
53.79	0.000170589	0.000174851
53.9	0.000170589	0.000174851
54.01	0.000173472	0.000177885
54.12	0.000173472	0.000177885
54.23	0.000173472	0.000177885
54.34	0.000173472	0.000177885
54.45	0.000173472	0.000177885
54.56	0.000173472	0.000177885
54.67	0.000173472	0.000177885
54.78	0.000173472	0.000177885
54.89	0.000173472	0.000177885
55	0.000173472	0.000177885
55.11	0.000176135	0.000180687
55.22	0.000176135	0.000180687
55.33	0.000176135	0.000180687
55.44	0.000176135	0.000180687
55.55	0.000176135	0.000180687
55.66	0.000176135	0.000180687
55.77	0.000176135	0.000180687
55.88	0.000176135	0.000180687
55.99	0.000176135	0.000180687
56.1	0.000178578	0.000183255
56.21	0.000178578	0.000183255
56.32	0.000178578	0.000183255
56.43	0.000178578	0.000183255
56.54	0.000178578	0.000183255
56.65	0.000178578	0.000183255
56.76	0.000178578	0.000183255
56.87	0.000178578	0.000183255
56.98	0.000178578	0.000183255
57.09	0.000180799	0.00018559
57.2	0.000180799	0.00018559
57.31	0.000180799	0.00018559
57.42	0.000180799	0.00018559
57.53	0.000180799	0.00018559
57.64	0.000180799	0.00018559
57.75	0.000180799	0.00018559
57.86	0.000180799	0.00018559
57.97	0.000180799	0.00018559
58.08	0.000182798	0.000187691
58.19	0.000182798	0.000187691
58.3	0.000182798	0.000187691
58.41	0.000182798	0.000187691
58.52	0.000182798	0.000187691
58.63	0.000182798	0.000187691
58.74	0.000182798	0.000187691
58.85	0.000182798	0.000187691
58.96	0.000182798	0.000187691
